Age,Category,Milestone
2 months,Language/Communication Milestones,Makes sounds other than crying  Holds head up when on tummy
2 months,Language/Communication Milestones,Reacts to loud sounds  Moves both arms and both legs
2 months,Language/Communication Milestones,Opens hands briefly
2 months,Cognitive Milestones,Calms down when spoken to or picked up
2 months,Cognitive Milestones,Looks at your face  Watches you as you move
2 months,Cognitive Milestones,Seems happy to see you when you walk up to her  Looks at a toy for several seconds
2 months,Cognitive Milestones,Smiles when you talk to or smile at her
4 months,Language/Communication Milestones,Holds head steady without support when you are
4 months,Language/Communication Milestones,"Makes sounds like “oooo”, “aahh” (cooing)"
4 months,Language/Communication Milestones,Makes sounds back when you talk to him  Holds a toy when you put it in his hand
4 months,Language/Communication Milestones,Turns head towards the sound of your voice  Uses her arm to swing at toys
4 months,Language/Communication Milestones,Brings hands to mouth
4 months,Language/Communication Milestones,Pushes up onto elbows/forearms when on tummy
4 months,Cognitive Milestones,Smiles on his own to get your attention
4 months,Cognitive Milestones,"Chuckles (not yet a full laugh) when you try to make  If hungry, opens mouth when she sees breast or bottle"
4 months,Cognitive Milestones,her laugh  Looks at his hands with interest
4 months,Cognitive Milestones,"Looks at you, moves, or makes sounds to get or"
6 months,Cognitive Milestones,Knows familiar people
6 months,Cognitive Milestones,Likes to look at himself in a mirror  Puts things in her mouth to explore them
6 months,Cognitive Milestones,Laughs  Reaches to grab a toy he wants
6 months,Cognitive Milestones,Closes lips to show she doesn’t want more food
6 months,Movement/Physical Development,Takes turns making sounds with you
6 months,Movement/Physical Development,Blows “raspberries” (sticks tongue out and blows) Milestones
6 months,Movement/Physical Development,Makes squealing noises  Rolls from tummy to back
6 months,Movement/Physical Development,Pushes up with straight arms when on tummy
6 months,Movement/Physical Development,Leans on hands to support himself when sitting
9 months*,Language/Communication Milestones,Gets to a sitting position by herself
9 months*,Language/Communication Milestones,Moves things from one hand to her other hand
9 months*,Language/Communication Milestones,Makes different sounds like “mamamama” and  Uses fingers to “rake” food towards himself
9 months*,Language/Communication Milestones,“babababa”  Sits without support
9 months*,Language/Communication Milestones,Lifts arms up to be picked up
9 months*,Cognitive Milestones,"Is shy, clingy, or fearful around strangers"
9 months*,Cognitive Milestones,"Shows several facial expressions, like happy, sad,  Looks for objects when dropped out of sight"
9 months*,Cognitive Milestones,Looks when you call her name  Bangs two things together
9 months*,Cognitive Milestones,"Reacts when you leave (looks, reaches for you,"
9 months*,Movement/Physical Development,Smiles or laughs when you play peek-a-boo
12 months,Language/Communication Milestones,"Walks, holding on to furniture"
12 months,Language/Communication Milestones,"Drinks from a cup without a lid, as you hold it"
12 months,Language/Communication Milestones,Waves “bye-bye”
12 months,Language/Communication Milestones,"Picks things up between thumb and pointer finger,"
12 months,Language/Communication Milestones,Calls a parent “mama” or “dada” or another special
12 months,Language/Communication Milestones,Understands “no” (pauses briefly or stops when
12 months,Cognitive Milestones,"Puts something in a container, like a block in a cup"
12 months,Cognitive Milestones,"Looks for things he sees you hide, like a toy under"
12 months,Movement/Physical Development,"Plays games with you, like pat-a-cake"
12 months,Movement/Physical Development,Pulls up to stand
15 months,Language/Communication Milestones,Takes a few steps on his own
15 months,Language/Communication Milestones,Tries to say one or two words besides “mama” or  Uses fingers to feed herself some food
15 months,Language/Communication Milestones,Looks at a familiar object when you name it
15 months,Language/Communication Milestones,Follows directions given with both a gesture and
15 months,Language/Communication Milestones,Points to ask for something or to get help
15 months,Cognitive Milestones,"Copies other children while playing, like taking toys"
15 months,Cognitive Milestones,"out of a container when another child does  Tries to use things the right way, like a phone, cup,"
15 months,Cognitive Milestones,Shows you an object she likes or book
15 months,Cognitive Milestones,"Claps when excited  Stacks at least two small objects, like blocks"
15 months,Cognitive Milestones,Hugs stuffed doll or other toy
15 months,Cognitive Milestones,"Shows you affection (hugs, cuddles, or kisses you)"
18 months*,Social/Emotional Milestones,"Moves away from you, but looks to make sure you"
18 months*,Social/Emotional Milestones,are close by  Walks without holding on to anyone or anything
18 months*,Social/Emotional Milestones,Points to show you something interesting  Scribbles
18 months*,Social/Emotional Milestones,Puts hands out for you to wash them  Drinks from a cup without a lid and may spill
18 months*,Social/Emotional Milestones,Looks at a few pages in a book with you sometimes
18 months*,Social/Emotional Milestones,Helps you dress him by pushing arm through sleeve  Feeds herself with her fingers
18 months*,Social/Emotional Milestones,or lifting up foot  Tries to use a spoon
18 months*,Social/Emotional Milestones,Climbs on and off a couch or chair without help
18 months*,Language/Communication Milestones,Tries to say three or more words besides “mama” or “dada” *It’s time for developmental screening!
18 months*,Language/Communication Milestones,"Follows one-step directions without any gestures,"
18 months*,Cognitive Milestones,"Copies you doing chores, like sweeping with a broom"
18 months*,Cognitive Milestones,"Plays with toys in a simple way, like pushing a toy car"
2 years*,Social/Emotional Milestones,"Tries to use switches, knobs, or"
2 years*,Social/Emotional Milestones,"Notices when others are hurt or upset, like pausing"
2 years*,Social/Emotional Milestones,"Plays with more than one toy at the same time,"
